TEM_CODE,TEM_DATE_TIME,TEM_ACS_TRX_ID,TEM_DS_TRX_ID,TEM_ERRR_CMPN,TEM_ERRR_CODE,TEM_ERRR_DSCR,TEM_ERRR_DTLS,TEM_ERRR_MSSG_TYPE,TEM_MSSG_VRSN_NMBR,TEM_SDK_TRX_ID,TEM_TDS_SRVR_TRX_ID,TEM_3ST_CODE,TEM_CRT_CODE,ROWID
"2,460",2020-06-07 21:18:47.186,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06e7a2a8-a8fc-11ea-9f83-2543c67ebbe3,,,AAAW1bAAFAABco3AAc
"2,462",2020-06-07 21:18:47.332,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,149279f2-a8fc-11ea-9f83-8575ce833b05,,,AAAW1bAAFAABco3AAd
"2,464",2020-06-07 21:18:47.225,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,14a84be4-a8fc-11ea-9f83-f5d36383db8e,,,AAAW1bAAFAABco3AAe
"2,466",2020-06-07 21:18:47.201,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,1499ccf3-a8fc-11ea-9f83-f7a4aef54cae,,,AAAW1bAAFAABco3AAf
"2,468",2020-06-07 21:18:47.81,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,1486930b-a8fc-11ea-9f83-c5bcda98bde4,,,AAAW1bAAFAABco3AAg
"2,473",2020-06-07 21:18:48.713,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,15e8941b-a8fc-11ea-9f83-a9d5036180ec,,,AAAW1bAAFAABco3AAh
"2,475",2020-06-07 21:18:49.191,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,13a44955-a8fc-11ea-9f83-055ab7ca40e8,,,AAAW1bAAFAABco3AAi
"2,478",2020-06-07 21:18:49.43,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,152a4d25-a8fc-11ea-9f83-917f2fc38c94,,,AAAW1bAAFAABco3AAj
"2,481",2020-06-07 21:18:49.457,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,163f188e-a8fc-11ea-9f83-95a0b0a94b44,,,AAAW1bAAFAABco3AAk
"2,482",2020-06-07 21:18:50.033,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,183c963f-a8fc-11ea-9f83-5787bd734bd8,,,AAAW1bAAFAABco3AAl
"2,483",2020-06-07 21:19:03.807,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,20f39310-a8fc-11ea-9f83-7b485d9f17a6,,,AAAW1bAAFAABco3AAm
"2,485",2020-06-07 21:21:51.027,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,7e8c4c67-a8fc-11ea-9f83-53ec02aaabdc,,,AAAW1bAAFAABco3AAn
"2,488",2020-06-07 21:24:43.226,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e0059a70-a8fc-11ea-9f83-1960b83e35a7,,,AAAW1bAAFAABco3AAo
"2,489",2020-06-07 21:24:43.253,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddd65f4c-a8fc-11ea-9f83-f395ee5e6b13,,,AAAW1bAAFAABco3AAp
"2,490",2020-06-07 21:24:43.277,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddd37918-a8fc-11ea-9f83-8ff4872be04a,,,AAAW1bAAFAABco3AAq
"2,491",2020-06-07 21:24:43.447,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e0059a71-a8fc-11ea-9f83-53946fe11d9f,,,AAAW1bAAFAABco3AAr
"2,492",2020-06-07 21:24:43.505,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddd6383b-a8fc-11ea-9f83-7d8b7e71517c,,,AAAW1bAAFAABco3AAs
"2,493",2020-06-07 21:24:43.78,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e0059a72-a8fc-11ea-9f83-35114b37e344,,,AAAW1bAAFAABco3AAt
"2,494",2020-06-07 21:24:43.754,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ded3d22a-a8fc-11ea-9f83-49d5707ef24a,,,AAAW1bAAFAABco3AAu
"2,495",2020-06-07 21:24:44.024,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e00684d5-a8fc-11ea-9f83-2f7aeef1ceb5,,,AAAW1bAAFAABco3AAv
"2,496",2020-06-07 21:24:43.841,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e005c183-a8fc-11ea-9f83-ed1085531cc4,,,AAAW1bAAFAABco3AAw
"2,497",2020-06-07 21:24:44.011,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,df6cb6cf-a8fc-11ea-9f83-07976081a282,,,AAAW1bAAFAABco3AAx
"2,498",2020-06-07 21:24:43.985,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddca5155-a8fc-11ea-9f83-097769e7dab2,,,AAAW1bAAFAABco3AAy
"2,500",2020-06-07 21:24:44.123,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddd6383a-a8fc-11ea-9f83-672299b568ee,,,AAAW1bAAFAABco3AAz
"2,499",2020-06-07 21:24:44.216,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e00684d6-a8fc-11ea-9f83-27c97b2b2af7,,,AAAW1bAAFAABco3AA0
"2,501",2020-06-07 21:24:44.153,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddddb256-a8fc-11ea-9f83-1f9c6c64fcf1,,,AAAW1bAAFAABco3AA1
"2,503",2020-06-07 21:24:44.212,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,df6cb6ce-a8fc-11ea-9f83-b91b18af5d12,,,AAAW1bAAFAABco3AA2
"2,504",2020-06-07 21:24:44.179,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,e005e894-a8fc-11ea-9f83-7509690dbd37,,,AAAW1bAAFAABco3AA3
"2,502",2020-06-07 21:24:44.377,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,dddc52c4-a8fc-11ea-9f83-61dd80a6a04a,,,AAAW1bAAFAABco3AA4
"2,507",2020-06-07 21:24:44.283,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddde75a7-a8fc-11ea-9f83-4f5ef790881b,,,AAAW1bAAFAABco3AA5
"2,505",2020-06-07 21:24:44.347,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddd43c69-a8fc-11ea-9f83-cd028ae20435,,,AAAW1bAAFAABco3AA6
"26,961",2020-11-17 13:56:59.035,,,S,101,Message not recognized,Invalid Message Type,ARes,2.2.0,,c0e71df4-28dc-11eb-9f2a-83e400d9e13e,,,AAAW1bAAFAABdX4AAB
"26,967",2020-11-19 13:10:35.451,cb0d3faa-0c4f-43a7-be49-e7d97a4a0e36,ddff794d-e4a3-484b-9a2d-6d16d9dab007,S,203,Data element(s) not in the required format or value is invalid,transStatus,ARes,2.2.0,,9b6e3bda-2a68-11eb-8441-79f14fc2111b,,,AAAW1bAAFAABdX4AAD
"26,974",2020-11-19 13:10:37.447,bb309998-8505-490e-91c8-b1d58dfde4bd,28382807-9176-475a-a0f8-f098574baf37,S,203,Data element(s) not in the required format or value is invalid,transStatus,ARes,2.2.0,,9c5e6840-2a68-11eb-8441-5739080ad29d,,,AAAW1bAAFAABdX4AAI
"26,979",2020-11-19 13:10:39.74,9bee31d2-e6d8-4457-bee8-752ba7c75c93,9ba844bb-524d-4fc5-ba1a-6939dcc3e709,S,203,Data element(s) not in the required format or value is invalid,transStatus,ARes,2.2.0,,9dd2dfd5-2a68-11eb-8441-fd49d14a52ed,,,AAAW1bAAFAABdX4AAJ
"2,811",2020-06-16 22:56:52.571,e31adeb0-004a-4748-a0d9-8cf28680a29f,21577a29-1b46-4e21-b173-5707d0356946,S,301,Transaction Data Invalid,3DS Server Transaction ID is Invalid,ARes,2.1.0,,,,,AAAW1bAAFAABdX4AAX
"27,022",2020-11-19 13:13:58.683,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0e653b80-2a69-11eb-8441-6915d106d40f,,,AAAW1bAAFAABdX4AAa
